Station,Date,Time,Pressure,RH,Temp,WD,WS,PREC,NO,NO2,NOX,O3,PM10,PM2.5
"עפולה, עפולה",08/06/2023,01:00,,91.0,16.0,267.0,1.0,0.0,,,,,,
"עפולה, עפולה",08/06/2023,07:00,,89.0,28.2,205.0,0.7,0.0,,,,,,
"עפולה, עפולה",08/06/2023,13:00,,29.0,44.7,217.0,2.3,0.0,,,,,,
"עפולה, עפולה",08/06/2023,19:00,,66.0,24.6,239.0,1.8,0.0,,,,,,
"עפולה, עפולה",09/06/2023,01:00,,68.0,21.2,347.0,1.1,0.0,,,,,,
"עפולה, עפולה",09/06/2023,07:00,,52.0,26.2,99.0,5.8,0.0,,,,,,
"עפולה, עפולה",09/06/2023,13:00,,36.0,40.3,64.0,5.7,0.0,,,,,,
"עפולה, עפולה",09/06/2023,19:00,,36.0,31.0,49.0,3.7,0.0,,,,,,
"עפולה, עפולה",10/06/2023,01:00,,67.0,20.8,346.0,2.1,0.0,,,,,,
"עפולה, עפולה",10/06/2023,07:00,,68.0,37.1,334.0,1.1,0.0,,,,,,
"עפולה, עפולה",10/06/2023,13:00,,36.0,42.5,277.0,5.7,0.0,,,,,,
"עפולה, עפולה",10/06/2023,19:00,,75.0,23.5,277.0,3.5,0.0,,,,,,
"עפולה, עפולה",11/06/2023,01:00,,90.0,16.8,310.0,1.0,0.0,,,,,,
"עפולה, עפולה",11/06/2023,07:00,,82.0,32.9,282.0,1.3,0.0,,,,,,
"עפולה, עפולה",11/06/2023,13:00,,46.0,41.9,291.0,3.5,0.0,,,,,,
"עפולה, עפולה",11/06/2023,19:00,,71.0,22.5,288.0,2.5,0.0,,,,,,
"עפולה, עפולה",12/06/2023,01:00,,88.0,18.0,255.0,2.0,0.0,,,,,,
"עפולה, עפולה",12/06/2023,07:00,,70.0,36.2,301.0,1.1,0.0,,,,,,
"עפולה, עפולה",12/06/2023,13:00,,35.0,41.0,289.0,4.2,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",01/06/2023,01:00,,58.0,,102.0,0.9,0.0,,,,,,
"תל אביב-יפו, אוניברסיטה",01/06/2023,07:00,,47.0,,15.0,2.0,0.0,,,,,,
